ID,Hall,Room,Type,Sqft,College,Region,Elevator,Bathroom,AC,Floor,FilePath,Wawa,UStore,Nassau Street,Jadwin Gym,Frist,Street,EQuad,Dillon,RoomID
77,Bloomberg,224,SINGLE,135,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg224
78,Bloomberg,225,SINGLE,132,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg225
79,Bloomberg,226,SINGLE,145,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg226
80,Bloomberg,227,SINGLE,132,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg227
81,Bloomberg,229,SINGLE,131,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg229
82,Bloomberg,239,SINGLE,120,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg239
83,Bloomberg,240,DOUBLE,200,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg240
84,Bloomberg,241,SINGLE,138,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg241
85,Bloomberg,242,SINGLE,170,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg242
86,Bloomberg,243,SINGLE,138,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg243
87,Bloomberg,244,SINGLE,143,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg244
88,Bloomberg,245,SINGLE,138,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg245
89,Bloomberg,246,SINGLE,146,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg246
90,Bloomberg,247,DOUBLE,207,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg247
91,Bloomberg,248,SINGLE,152,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg248
92,Bloomberg,250,SINGLE,147,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg250
93,Bloomberg,257,SINGLE,156,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg257
94,Bloomberg,259,SINGLE,143,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg259
95,Bloomberg,261,SINGLE,141,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg261
96,Bloomberg,267,SINGLE,135,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg267
97,Bloomberg,269,SINGLE,156,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg269
98,Bloomberg,270,SINGLE,134,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg270
99,Bloomberg,271,SINGLE,133,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg271
100,Bloomberg,272,SINGLE,173,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg272
101,Bloomberg,273,SINGLE,148,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg273
102,Bloomberg,274,SINGLE,132,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg274
103,Bloomberg,275,SINGLE,155,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg275
104,Bloomberg,276,SINGLE,134,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg276
105,Bloomberg,277,SINGLE,154,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg277
106,Bloomberg,278,SINGLE,136,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg278
107,Bloomberg,279,SINGLE,139,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg279
108,Bloomberg,281,QUAD,710,Butler College,BUTLER,YES,NONE,YES,2,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_02.png,8,8,9,12,5,9,13,7,Bloomberg281
109,Bloomberg,301,SINGLE,148,Butler College,BUTLER,YES,NONE,YES,3,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_03.png,8,8,9,12,5,9,13,7,Bloomberg301
110,Bloomberg,302,SINGLE,145,Butler College,BUTLER,YES,NONE,YES,3,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_03.png,8,8,9,12,5,9,13,7,Bloomberg302
111,Bloomberg,303,SINGLE,132,Butler College,BUTLER,YES,NONE,YES,3,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_03.png,8,8,9,12,5,9,13,7,Bloomberg303
112,Bloomberg,304,SINGLE,139,Butler College,BUTLER,YES,NONE,YES,3,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_03.png,8,8,9,12,5,9,13,7,Bloomberg304
113,Bloomberg,305,SINGLE,143,Butler College,BUTLER,YES,NONE,YES,3,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_03.png,8,8,9,12,5,9,13,7,Bloomberg305
114,Bloomberg,306,SINGLE,139,Butler College,BUTLER,YES,NONE,YES,3,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_03.png,8,8,9,12,5,9,13,7,Bloomberg306
115,Bloomberg,307,SINGLE,142,Butler College,BUTLER,YES,NONE,YES,3,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_03.png,8,8,9,12,5,9,13,7,Bloomberg307
116,Bloomberg,308,SINGLE,140,Butler College,BUTLER,YES,NONE,YES,3,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_03.png,8,8,9,12,5,9,13,7,Bloomberg308
117,Bloomberg,310,SINGLE,152,Butler College,BUTLER,YES,NONE,YES,3,https://purv360s.z13.web.core.windows.net/Room_Plans/Bulter_College/BLOOMBERG_HALL/level_03.png,8,8,9,12,5,9,13,7,Bloomberg310
